,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Manchester United,2010/2011,65.0,49.0,40.0,65.0,65.0,70.0,45.0,45.0,65.0,2,1,2,1,2,2,3,0,2,2,1,0,0,1,0,80
1,Chelsea,2010/2011,60.0,49.0,50.0,60.0,60.0,80.0,35.0,55.0,50.0,2,1,2,0,2,2,3,0,2,2,1,0,0,1,0,71
2,Manchester City,2010/2011,70.0,49.0,60.0,70.0,65.0,75.0,65.0,65.0,50.0,3,1,2,1,3,2,3,0,2,2,1,0,0,1,0,71
3,Arsenal,2010/2011,75.0,49.0,40.0,40.0,45.0,65.0,50.0,40.0,45.0,3,1,2,0,2,2,2,0,2,2,1,0,0,1,0,68
4,Tottenham Hotspur,2010/2011,60.0,49.0,55.0,70.0,70.0,70.0,30.0,40.0,60.0,2,1,2,0,3,3,3,1,1,2,1,0,0,1,0,62
5,Liverpool,2010/2011,60.0,49.0,50.0,40.0,45.0,60.0,55.0,55.0,50.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,58
6,Everton,2010/2011,60.0,49.0,50.0,55.0,70.0,55.0,55.0,65.0,60.0,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,54
7,Fulham,2010/2011,50.0,49.0,55.0,45.0,55.0,40.0,45.0,35.0,50.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,49
8,Aston Villa,2010/2011,65.0,49.0,50.0,45.0,55.0,50.0,35.0,45.0,65.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,48
9,Sunderland,2010/2011,55.0,49.0,55.0,55.0,65.0,55.0,45.0,55.0,65.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,47
10,West Bromwich Albion,2010/2011,60.0,49.0,65.0,40.0,50.0,45.0,35.0,55.0,60.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,47
11,Newcastle United,2010/2011,55.0,49.0,50.0,60.0,50.0,60.0,45.0,45.0,50.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,46
12,Stoke City,2010/2011,50.0,49.0,80.0,30.0,70.0,35.0,25.0,65.0,50.0,2,1,3,1,1,3,2,1,1,2,1,0,0,1,0,46
13,Bolton Wanderers,2010/2011,45.0,49.0,70.0,55.0,70.0,50.0,40.0,55.0,50.0,2,1,3,1,2,3,2,1,2,2,1,0,0,1,0,46
14,Blackburn Rovers,2010/2011,55.0,49.0,65.0,50.0,50.0,35.0,45.0,60.0,55.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,43
15,Wigan Athletic,2010/2011,35.0,49.0,50.0,45.0,65.0,50.0,45.0,55.0,65.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,42
16,Wolverhampton Wanderers,2010/2011,55.0,49.0,55.0,60.0,60.0,45.0,45.0,45.0,50.0,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,40
17,Birmingham City,2010/2011,45.0,49.0,60.0,35.0,50.0,40.0,30.0,60.0,45.0,2,1,2,1,2,2,2,1,1,2,1,0,0,1,0,39
18,Blackpool,2010/2011,70.0,49.0,30.0,65.0,30.0,65.0,45.0,50.0,45.0,3,1,1,1,2,1,2,1,2,2,1,0,0,1,0,39
19,West Ham United,2010/2011,35.0,49.0,35.0,30.0,45.0,45.0,45.0,45.0,50.0,2,1,2,1,1,2,2,1,2,2,1,0,0,1,0,33
