,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Manchester City,2013/2014,-1.4280278523088414,0.0,-1.3245017161693529,-1.2889695346210677,-1.0825477423802452,-0.9253535011507094,-0.23638992214088286,-0.11258006586160937,0.3879400887222295,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,86
1,Liverpool,2013/2014,-1.1774966501493958,0.0,-0.6104846185039334,-0.9275762071572171,-2.023893605319589,0.40848938339085356,1.4736648337718858,0.7880604610312657,1.6222949164747764,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,84
2,Chelsea,2013/2014,-0.5929238451106886,0.0,-0.8246897478035593,-0.44571843720541615,0.5177402246166389,1.1587760059454826,-0.23638992214088286,-0.22516013172321875,-1.022751142994967,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,82
3,Arsenal,2013/2014,-1.9290902566277333,0.0,-1.6815102650020626,-1.0480406496451673,-0.04706729314696718,-0.8419883208668617,1.9766221149227001,1.0132205927544844,0.035267280792930414,1,1,1,1,2,2,2,0,2,2,1,0,0,1,0,79
4,Everton,2013/2014,0.4092009635270948,0.0,0.6747461572938216,-0.20478955222951573,0.32947105202877025,-1.4255445828537956,-0.33698137837104575,-0.11258006586160937,1.2696221085454773,2,1,2,1,2,2,1,1,2,2,1,0,0,1,0,72
5,Tottenham Hotspur,2013/2014,-0.9269654479899498,0.0,-0.46768119897084953,-0.5661828796933664,0.2353364657348359,1.5756019073647212,1.8760306586925373,1.80128105378575,0.9169493006161782,2,1,2,1,2,2,3,1,2,2,1,0,0,1,0,69
6,Manchester United,2013/2014,-0.5929238451106886,0.0,-1.0388948771031852,-0.44571843720541615,1.1766823286741794,-1.008718681434557,0.46775027147025716,0.4503202634464375,0.7406128966515286,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,64
7,Southampton,2013/2014,-0.5094134443908733,0.0,-1.0388948771031852,0.2770682177222852,0.04706729314696718,0.7419501045262443,1.2724819213115601,2.026441185508969,-1.375423950924266,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,56
8,Stoke City,2013/2014,1.8288777757639547,0.0,1.460164964725783,1.1203193151379367,0.5177402246166389,-0.9253535011507094,-1.2423044844425115,-0.900640526892875,-1.9044331628182147,3,1,3,1,2,2,2,1,1,2,1,0,0,1,0,50
9,Newcastle United,2013/2014,0.4092009635270948,0.0,1.388763254959241,-0.20478955222951573,-0.42360563832270465,-0.25843205887992793,-0.33698137837104575,-0.6754803951696563,-0.14106912317171913,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,49
10,Crystal Palace,2013/2014,-0.09186144079179694,0.0,-0.3962794892043076,2.3249637400174388,0.9884131560863108,-0.17506687859608025,-0.8399386595218601,-1.3509607903393126,0.21160368475757996,2,1,2,1,3,2,2,1,2,2,0,0,1,1,0,45
11,Swansea City,2013/2014,-1.0104758487097651,0.0,-0.9674931673366431,-1.6503628620849184,-1.2708169149681139,-0.4251624194476233,0.7695246401607457,1.463540856200922,0.9169493006161782,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,42
12,West Ham United,2013/2014,1.5783465736045088,0.0,1.460164964725783,1.3612482001138373,1.7414898464377857,-1.4255445828537956,-1.4434873969028372,-0.900640526892875,-1.9044331628182147,3,1,3,1,2,3,1,1,1,2,1,0,0,1,0,40
13,Sunderland,2013/2014,0.3256905628072795,0.0,0.9603529963599894,0.758925987674086,-2.306297364201392,1.9090626285001118,0.26656735900993145,0.7880604610312657,-0.4937419311010182,2,1,2,1,2,1,3,1,2,2,1,0,0,1,0,38
14,Aston Villa,2013/2014,0.8267529671261712,0.0,0.4605410279941957,0.2770682177222852,-0.04706729314696718,-1.2588142222861,-0.5381642908313714,-0.4503202634464375,0.3879400887222295,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,38
15,Hull City,2013/2014,0.8267529671261712,0.0,-0.32487777943776563,-1.409433977109018,0.42360563832270465,0.40848938339085356,-1.0411215719821858,-0.900640526892875,-1.022751142994967,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,37
16,West Bromwich Albion,2013/2014,0.15866976136764893,0.0,0.10353247916148602,0.8793904301620363,-0.2353364657348359,0.6585849242423966,-1.1417130282123487,-1.5761209220625314,-0.4937419311010182,2,1,2,1,2,2,2,1,1,2,0,0,1,1,0,36
17,Norwich City,2013/2014,1.4113257721648782,0.0,1.2459598354261572,0.758925987674086,1.0825477423802452,-0.09170169831223257,-0.4375728346012086,-0.22516013172321875,0.21160368475757996,3,1,3,1,2,3,2,1,2,2,1,0,0,1,0,33
18,Fulham,2013/2014,-0.09186144079179694,0.0,-0.2534760696712237,-0.0843251097415655,0.04706729314696718,0.825315284810092,-0.5381642908313714,-0.6754803951696563,0.9169493006161782,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,32
19,Cardiff City,2013/2014,0.5762217649667254,0.0,1.1745581256596151,0.5179971026981857,0.32947105202877025,1.075410825661635,0.26656735900993145,-0.22516013172321875,0.7406128966515286,2,1,3,1,2,2,2,1,2,2,1,0,0,1,0,30
