,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Chelsea,2009/2010,0.8389479278582963,0.0,0.04046442788196714,-0.3225348270314134,0.34554737023254406,1.2888550151773635,-1.0117750062551318,-0.27558912730477525,-0.7614821878783635,3,1,2,0,2,3,3,0,1,2,1,0,0,1,0,86
1,Manchester United,2009/2010,0.8389479278582963,0.0,-1.0631108779898697,-1.1878721678474002,0.34554737023254406,0.8024946320915659,-0.2759386380695814,-1.194219551654026,-0.3900274620840398,3,1,2,1,2,3,2,0,2,2,1,0,0,1,0,85
2,Arsenal,2009/2010,0.20577968041807235,0.0,-2.1666861838617066,-2.367877632596473,-3.9737947576742565,-2.115667666423219,-1.0117750062551318,-2.1128499760032766,0.3528819895046075,2,1,1,0,1,2,2,0,1,2,1,0,0,1,0,75
3,Tottenham Hotspur,2009/2010,0.8389479278582963,0.0,-0.6952524426992575,-0.7945370129310426,-0.5183210553488161,-0.6565865171658266,0.459897730115969,-1.194219551654026,0.3528819895046075,3,1,2,1,2,2,2,1,2,2,1,0,0,1,0,70
4,Manchester City,2009/2010,0.8389479278582963,0.0,0.04046442788196714,-0.40120185801468494,0.34554737023254406,1.2888550151773635,0.0919795460231938,-0.7349043394794006,-0.018572736289716184,3,1,2,1,2,3,3,1,2,2,1,0,0,1,0,67
5,Aston Villa,2009/2010,0.8389479278582963,0.0,-0.03310725917615531,0.3854684518180304,0.34554737023254406,-0.6565865171658266,-1.0117750062551318,0.6430412970444755,-1.1329369136726872,3,1,2,1,2,3,2,0,1,1,0,1,0,1,0,64
6,Liverpool,2009/2010,-2.3268933093428235,0.0,-1.7988277485710942,-0.7945370129310426,-1.3821894809301762,1.2888550151773635,-0.2759386380695814,-0.27558912730477525,-0.3900274620840398,2,1,2,1,2,2,3,1,2,2,1,0,0,1,0,63
7,Everton,2009/2010,-0.7439726907422636,0.0,0.40832286317257943,-0.007866703098327266,0.34554737023254406,-1.1429469002516242,-0.2759386380695814,0.6430412970444755,-0.3900274620840398,2,1,2,1,2,3,2,1,2,2,0,1,0,1,0,61
8,Birmingham City,2009/2010,0.8389479278582963,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,1.2888550151773635,1.9315704664870699,0.6430412970444755,1.8387008926819022,3,1,3,1,3,3,3,1,3,3,0,1,0,1,0,50
9,Blackburn Rovers,2009/2010,-1.5354330000425436,0.0,0.7761812984631917,-0.007866703098327266,0.34554737023254406,-0.17022613408002912,0.0919795460231938,0.6430412970444755,-0.018572736289716184,2,1,3,1,2,3,2,1,2,2,0,1,0,1,0,50
10,Stoke City,2009/2010,0.047487618558016344,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-0.17022613408002912,-0.6438568221623566,0.6430412970444755,-0.7614821878783635,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,47
11,Fulham,2009/2010,-0.7439726907422636,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-0.6565865171658266,-0.2759386380695814,-2.572165188177902,-0.3900274620840398,2,1,3,1,3,3,2,1,2,2,1,0,0,1,0,46
12,Sunderland,2009/2010,-0.7439726907422636,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-0.17022613408002912,-0.6438568221623566,0.6430412970444755,-0.7614821878783635,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,44
13,Bolton Wanderers,2009/2010,-1.5354330000425436,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-1.1429469002516242,-0.6438568221623566,0.6430412970444755,-0.7614821878783635,2,1,3,1,3,3,2,1,2,2,0,1,0,1,0,39
14,Wolverhampton Wanderers,2009/2010,0.8389479278582963,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,1.2888550151773635,1.9315704664870699,0.6430412970444755,1.8387008926819022,3,1,3,1,3,3,3,1,3,3,0,1,0,1,0,38
15,Wigan Athletic,2009/2010,0.8389479278582963,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-0.6565865171658266,-0.6438568221623566,0.6430412970444755,-0.7614821878783635,3,1,3,1,3,3,2,1,2,2,0,1,0,1,0,36
16,West Ham United,2009/2010,-1.0605568144623756,0.0,-2.1666861838617066,-2.2892106016132017,0.34554737023254406,-0.6565865171658266,-1.0117750062551318,0.6430412970444755,-1.1329369136726872,2,1,1,1,1,3,2,1,1,1,0,1,0,1,0,35
17,Burnley,2009/2010,0.8389479278582963,0.0,0.40832286317257943,0.7788036067343881,0.34554737023254406,1.2888550151773635,1.5636522823942947,0.6430412970444755,1.8387008926819022,3,1,2,1,3,3,3,1,2,3,0,1,0,1,0,30
18,Hull City,2009/2010,0.047487618558016344,0.0,0.04046442788196714,0.7788036067343881,0.34554737023254406,-0.17022613408002912,1.9315704664870699,0.6430412970444755,1.8387008926819022,2,1,2,1,3,3,2,1,3,3,0,1,0,1,0,30
19,Portsmouth,2009/2010,0.8389479278582963,0.0,0.7761812984631917,0.7788036067343881,0.34554737023254406,-0.17022613408002912,-0.2759386380695814,0.6430412970444755,-0.3900274620840398,3,1,3,1,3,3,2,1,2,2,0,1,0,1,0,19
