,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Leicester City,2015/2016,0.7797661052473774,-0.014810345974463728,1.3813843375747754,-0.033351867298253644,1.3886387676664782,-0.014650540413463283,1.5250298941906661,2.0498630711982595,0.653162090572887,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,81
1,Arsenal,2015/2016,0.3798860512743632,1.466224251471888,-1.8562352036161052,-1.8438818063463012,-0.3691318243164059,-0.014650540413463283,0.7193537236748425,-0.36174054197616323,0.16933831977815553,2,2,1,1,1,2,2,0,2,2,1,0,0,1,0,71
2,Tottenham Hotspur,2015/2016,-0.8197541106446794,0.7257069527487121,-0.7770286898858116,-0.6050981638397424,-0.6327974131138385,1.645744039779058,2.1005128731305405,0.786642130964038,0.8144366808377974,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,70
3,Manchester City,2015/2016,0.3798860512743632,-0.9034311044422748,-1.9641558549891345,-0.8909713121104866,-1.0722400611095595,-2.163396467721432,0.3740639363109181,-0.017225740094102854,0.4918875003079765,2,2,1,0,2,2,1,0,2,2,1,0,0,1,0,66
4,Manchester United,2015/2016,-1.7194842320839614,0.13329311377017145,-0.34534608439369424,0.15723023154890925,-0.3691318243164059,-0.6006721569520002,1.064643511038767,0.6718038636700179,0.8144366808377974,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,66
5,Southampton,2015/2016,-0.31990404317841165,-1.4958449434208154,-0.12950478164763554,-0.5098071144161609,0.5097534716750362,-1.5773748511828949,0.6042571278868678,2.0498630711982595,-1.1208584023411283,2,1,2,1,2,2,1,1,2,2,1,0,0,1,0,63
6,West Ham United,2015/2016,2.179346294152927,-0.6072241849530045,1.0576223834556873,1.9677601705969567,2.179635534058776,-1.6750451206059844,-1.6976747878726284,-1.165608413034304,-1.6046821731358596,3,2,2,1,3,3,1,1,1,2,1,0,0,1,0,62
7,Liverpool,2015/2016,1.079676145727138,2.7991553891736047,-0.23742543302066488,-1.2721355098048124,-1.248017120307848,-0.014650540413463283,0.7193537236748425,0.5569655963759977,1.6208096321623497,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,60
8,Stoke City,2015/2016,-0.7197840971514259,-0.014810345974463728,0.19425717247145252,0.3478123303960721,0.9491961196707571,0.27836026785580514,-0.0863224468409811,-1.165608413034304,0.008063729513245065,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,51
9,Chelsea,2015/2016,1.1796461592203917,-0.014810345974463728,-1.208711295377929,-0.6050981638397424,-1.248017120307848,-0.20999107925964225,-0.6618054257808551,-0.7062553438582235,-0.7983092218113073,3,2,2,1,2,2,2,1,2,2,1,0,0,1,0,50
