,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
10,Everton,2015/2016,-1.2196341646176936,0.577603493004077,-0.7770286898858116,-0.7956802626869052,-1.3359056499069921,1.645744039779058,0.8344503194628173,1.2459952001401184,1.298260451632529,2,2,2,1,2,1,2,1,2,2,1,0,0,1,0,47
11,Swansea City,2015/2016,-1.0196941376311865,0.4295000332594418,-0.5611873871397529,-1.2721355098048124,-1.0722400611095595,0.864381884394342,-1.5825781920846536,-0.017225740094102854,-1.4434075828709492,2,2,2,1,2,2,2,0,1,2,1,0,0,1,0,47
12,Watford,2015/2016,0.5798260782608703,-1.3477414836761803,0.5180191265905406,0.6336854786668165,-0.5449088835146944,-0.11232080983655277,-0.7769020215688299,0.5569655963759977,-0.9595838120762178,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,45
13,West Bromwich Albion,2015/2016,0.6797960917541239,-1.3477414836761803,0.41009847521751125,0.538394429243235,0.15819935327845933,1.3527332315097893,-0.4316122342049055,-0.8210936111522437,-0.3144854510165759,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,43
14,Crystal Palace,2015/2016,0.5798260782608703,0.577603493004077,2.136828897185981,1.8724691211733753,1.8280814156621992,0.3760305372788946,-1.0070952131447797,-1.5101232149163644,-1.6046821731358596,2,2,3,1,3,3,2,1,2,2,1,0,0,1,0,42
15,AFC Bournemouth,2015/2016,-0.8197541106446794,-0.7553276446976396,-0.021584130274606178,0.15723023154890925,-0.2812432947172617,0.08301972900962619,0.3740639363109181,0.3272890617879575,1.7820842224272602,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,42
16,Sunderland,2015/2016,-1.2196341646176936,0.2813965735148066,0.41009847521751125,1.1101407257847238,0.15819935327845933,0.864381884394342,0.25896734052294335,-0.2469022746821431,-0.3144854510165759,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,39
17,Newcastle United,2015/2016,0.2799160377811097,0.577603493004077,0.19425717247145252,-0.033351867298253644,0.5097534716750362,-0.014650540413463283,-0.4316122342049055,-0.9359318784462638,0.008063729513245065,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,37
18,Norwich City,2015/2016,-1.0196941376311865,-0.4591207252083693,0.8417810807096286,-0.1286429167218351,0.5097534716750362,0.08301972900962619,-0.7769020215688299,-0.9359318784462638,0.008063729513245065,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,34
19,Aston Villa,2015/2016,0.7797661052473774,-0.6072241849530045,0.7338604293365993,1.2054317752083052,-0.01757770591982909,-0.7960126957981791,-1.1221918089327545,-0.36174054197616323,0.4918875003079765,2,2,2,1,2,2,2,1,2,2,1,0,0,1,0,17
