,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Manchester United,2010/2011,0.8354673530460051,0.0,-1.1481117053814,1.1608503869595725,0.7670271390835931,1.1985292431919417,0.21566554640687682,-0.7758748824364056,1.5714285714285714,2,1,2,1,2,2,3,0,2,2,1,0,0,1,0,80
1,Chelsea,2010/2011,0.35805743701971643,0.0,-0.281612305093551,0.7535344617105997,0.3021622063056579,1.9717739162190007,-0.8626621856275073,0.3735693878397508,-0.5714285714285714,2,1,2,0,2,2,3,0,2,2,1,0,0,1,0,71
2,Manchester City,2010/2011,1.3128772690722936,0.0,0.5848870951942982,1.5681663122085452,0.7670271390835931,1.5851515797054712,2.372321010475645,1.5230136581159073,-0.5714285714285714,3,1,2,1,3,2,3,0,2,2,1,0,0,1,0,71
3,Arsenal,2010/2011,1.7902871850985822,0.0,-1.1481117053814,-0.8757292392852914,-1.0924325920281477,0.811906906678412,0.7548294124240689,-1.3505970175744837,-1.2857142857142858,3,1,2,0,2,2,2,0,2,2,1,0,0,1,0,68
4,Tottenham Hotspur,2010/2011,0.35805743701971643,0.0,0.1516373950503736,1.5681663122085452,1.2318920718615283,1.1985292431919417,-1.4018260516446994,-1.3505970175744837,0.8571428571428571,2,1,2,0,3,3,3,1,1,2,1,0,0,1,0,62
5,Liverpool,2010/2011,0.35805743701971643,0.0,-0.281612305093551,-0.8757292392852914,-1.0924325920281477,0.42528457016488247,1.2939932784412609,0.3735693878397508,-0.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,58
6,Everton,2010/2011,0.35805743701971643,0.0,-0.281612305093551,0.34621853646162687,1.2318920718615283,0.038662233651352955,1.2939932784412609,1.5230136581159073,0.8571428571428571,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,54
7,Fulham,2010/2011,-0.5967623950328608,0.0,0.1516373950503736,-0.4684133140363187,-0.16270272647227732,-1.1212047758892356,0.21566554640687682,-1.925319152712562,-0.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,49
8,Aston Villa,2010/2011,0.8354673530460051,0.0,-0.281612305093551,-0.4684133140363187,-0.16270272647227732,-0.3479601028621766,-0.8626621856275073,-0.7758748824364056,1.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,48
9,Sunderland,2010/2011,-0.11935247900657214,0.0,0.1516373950503736,0.34621853646162687,0.7670271390835931,0.038662233651352955,0.21566554640687682,0.3735693878397508,1.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,47
10,West Bromwich Albion,2010/2011,0.35805743701971643,0.0,1.0181367953382228,-0.8757292392852914,-0.6275676592502125,-0.7345824393757061,-0.8626621856275073,0.3735693878397508,0.8571428571428571,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,47
11,Newcastle United,2010/2011,-0.11935247900657214,0.0,-0.281612305093551,0.7535344617105997,-0.6275676592502125,0.42528457016488247,0.21566554640687682,-0.7758748824364056,-0.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,46
12,Stoke City,2010/2011,-0.5967623950328608,0.0,2.3178858957699964,-1.690361089783237,1.2318920718615283,-1.5078271124027651,-1.9409899176618914,1.5230136581159073,-0.5714285714285714,2,1,3,1,1,3,2,1,1,2,1,0,0,1,0,46
13,Bolton Wanderers,2010/2011,-1.0741723110591492,0.0,1.4513864954821474,0.34621853646162687,1.2318920718615283,-0.3479601028621766,-0.3234983196103152,0.3735693878397508,-0.5714285714285714,2,1,3,1,2,3,2,1,2,2,1,0,0,1,0,46
14,Blackburn Rovers,2010/2011,-0.11935247900657214,0.0,1.0181367953382228,-0.06109738878734592,-0.6275676592502125,-1.5078271124027651,0.21566554640687682,0.948291522977829,0.14285714285714285,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,43
15,Wigan Athletic,2010/2011,-2.0289921431117266,0.0,-0.281612305093551,-0.4684133140363187,0.7670271390835931,-0.3479601028621766,0.21566554640687682,0.3735693878397508,1.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,42
16,Wolverhampton Wanderers,2010/2011,-0.11935247900657214,0.0,0.1516373950503736,0.7535344617105997,0.3021622063056579,-0.7345824393757061,0.21566554640687682,-0.7758748824364056,-0.5714285714285714,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,40
17,Birmingham City,2010/2011,-1.0741723110591492,0.0,0.5848870951942982,-1.2830451645342642,-0.6275676592502125,-1.1212047758892356,-1.4018260516446994,0.948291522977829,-1.2857142857142858,2,1,2,1,2,2,2,1,1,2,1,0,0,1,0,39
18,Blackpool,2010/2011,1.3128772690722936,0.0,-2.0146111056692493,1.1608503869595725,-2.4870273903619533,0.811906906678412,0.21566554640687682,-0.20115274729832736,-1.2857142857142858,3,1,1,1,2,1,2,1,2,2,1,0,0,1,0,39
19,West Ham United,2010/2011,-2.0289921431117266,0.0,-1.5813614055253247,-1.690361089783237,-1.0924325920281477,-0.7345824393757061,0.21566554640687682,-0.7758748824364056,-0.5714285714285714,2,1,2,1,1,2,2,1,2,2,1,0,0,1,0,33
