,Team,Season,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceTeamWidthClass,defenceAggressionClass_Press,defenceAggressionClass_Double,defenceAggressionClass_Contain,defenceDefenderLineClass_Cover,defenceDefenderLineClass_Offside Trap,Score
0,Manchester City,2011/2012,-0.6218576594691774,0.0,0.20276145369810228,-1.1378924577860563,-1.4832145185724384,-0.47998277893394087,0.6191655706840223,1.364023436296049,0.37152834416489694,2,1,2,1,2,2,2,0,2,2,1,0,0,1,0,89
1,Manchester United,2011/2012,-0.5441254520355302,0.0,0.1164799840393354,-0.2569434582097546,0.25246204571445785,0.44053213956950776,-1.054254890624145,-0.11059649483481479,0.641730776284822,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,89
2,Arsenal,2011/2012,-2.176501808142121,0.0,-1.7817123484535358,-0.9910676245233393,-1.7987920757155105,-2.8470211407999515,1.7905598935997393,0.9216374569567899,0.10132591204497189,1,1,1,1,2,2,1,0,2,2,1,0,0,1,0,70
3,Tottenham Hotspur,2011/2012,-0.6995898669028245,0.0,-0.4874903035720327,0.624005541366547,0.4891452135717619,1.229544926858178,-0.5522287522316947,-0.995368453513333,-0.03377530401499063,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,69
4,Newcastle United,2011/2012,0.07773220743364717,0.0,0.1164799840393354,0.9176552078919809,0.883617160000602,-0.47998277893394087,0.9538496629456558,-0.40552048106098754,-1.2496862485546534,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,65
5,Chelsea,2011/2012,0.5441254520355302,0.0,-0.6600532428895665,1.0644800411546977,-0.9309537935720623,-0.874489172578276,2.2925860319921894,1.6589474225222218,-0.7092813843148033,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,64
6,Everton,2011/2012,0.23319662230094151,0.0,0.28904292335686915,0.03670620831567924,0.015778877857153827,0.5720342707842861,0.6191655706840223,-0.11059649483481479,1.1821356405246721,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,56
7,Liverpool,2011/2012,0.5441254520355302,0.0,0.6341688019919366,0.03670620831567924,1.278089106429442,0.177527877139951,0.6191655706840223,-0.40552048106098754,1.4523380726445971,2,1,2,1,2,3,2,1,2,2,1,0,0,1,0,52
8,Fulham,2011/2012,-0.38866103716823586,0.0,-0.6600532428895665,-1.43154212431149,0.4102508242859939,0.3090300083547294,-1.3889389828857783,-1.8801404121918515,1.4523380726445971,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,52
9,West Bromwich Albion,2011/2012,-0.38866103716823586,0.0,-0.40120883391326584,-0.40376829147247156,0.25246204571445785,0.3090300083547294,-1.3889389828857783,-1.8801404121918515,0.10132591204497189,2,1,2,1,2,2,2,1,2,2,1,0,0,1,0,47
10,Swansea City,2011/2012,-2.0987696007084735,0.0,-2.471964105723671,2.0922538739937164,-1.4043201292866705,0.7035364019990645,0.2844814784223889,1.0690994500698763,1.1821356405246721,1,1,1,1,2,2,2,0,2,2,1,0,0,1,0,47
